Topic	Words	Frequency	Timestamp
73	playing, coordinate, resolving, egypt, crisis	2	2023-11-01 11:29:18.192660544
74	hello, amazing, discourse, know, protocol	6	2023-11-01 11:29:18.192660544
75	righteous, speedy, martyrs, recovery, eternal	2	2023-11-01 11:29:18.192660544
76	vehicles, includes, soldiers, combat, armored	3	2023-11-01 11:29:18.192660544
78	phenomenon, negative, displaces, anti, impossible	2	2023-11-01 11:29:18.192660544
79	animals, shikan, drinking, water, providing	1	2023-11-01 11:29:18.192660544
80	god, happen, words, hateful, victory	3	2023-11-01 11:29:18.192660544
82	rental, efficiency, directions, cultivation, assets	4	2023-11-01 11:29:18.192660544
83	ezz, din, hussein, mohamed, white	1	2023-11-01 11:29:18.192660544
87	visible, magnitude, workers, tragedies, little	1	2023-11-01 11:29:18.192660544
90	prefer, militarily, politically, shock, understand	2	2023-11-01 11:29:18.192660544
92	mountain, disappear, trap, withdrew, shambat	2	2023-11-01 11:29:18.192660544
93	pharmaceutical, manufacturing, recommendations, forum, white	1	2023-11-01 11:29:18.192660544
95	actually, greater, began, beginning, leadership	2	2023-11-01 11:29:18.192660544
100	edited, battalion, sound, brave, practiced	3	2023-11-01 11:29:18.192660544
105	gas, tear, gathered, express, met	1	2023-11-01 11:29:18.192660544
107	abyei, supreme, federal, coordination, delegation	1	2023-11-01 11:29:18.192660544
108	accelerate, enable, humanitarian, delivery, identify	3	2023-11-01 11:29:18.192660544
110	device, database, studied, intellectual, equipped	1	2023-11-01 11:29:18.192660544
111	dialysis, consumables, machines, medications, syndicate	1	2023-11-01 11:29:18.192660544
115	wheat, criticize, controls, tankers, benefited	1	2023-11-01 11:29:18.192660544
116	criminals, haftar, participate, regular, armies	1	2023-11-01 11:29:18.192660544
118	know, did, love, house, clothes	7	2023-11-01 11:29:18.192660544
121	temperatures, significantly, meteorology, drop, expects	1	2023-11-01 11:29:18.192660544
122	finding, shelters, moving, room, housing	1	2023-11-01 11:29:18.192660544
124	knows, france, leaving, chad, chadian	1	2023-11-01 11:29:18.192660544
126	hajj, given, paid, priority, unable	1	2023-11-01 11:29:18.192660544
128	channel, follow, telegram, httpstmesudaaan, httpswhatsappcomchaannel0029vb2jdpaixnnnnnnnnnnnnnpxuj5a1x	3	2023-11-01 11:29:18.192660544
129	stronger, war, wars, participated, modern	4	2023-11-01 11:29:18.192660544
132	salamat, darfur, arko, region, rahim	4	2023-11-01 11:29:18.192660544
134	restrict, involving, justification, actors, elements	1	2023-11-01 11:29:18.192660544
135	climate, fails, reputation, warring, dubai	1	2023-11-01 11:29:18.192660544
136	win, sorry, tested, strength, morale	1	2023-11-01 11:29:18.192660544
138	vice, views, unionist, party, sadiq	1	2023-11-01 11:29:18.192660544
139	receipt, insurance, 10, island, announces	1	2023-11-01 11:29:18.192660544
143	difference, big, john, nearby, crushing	1	2023-11-01 11:29:18.192660544
144	asks, interpol, idris, officer, good	1	2023-11-01 11:29:18.192660544
149	skin, crocodile, root, sheep, slaughtered	3	2023-11-01 11:29:18.192660544
155	ensures, establishment, infrastructure, technical, gedaref	1	2023-11-01 11:29:18.192660544
160	neutrality, doors, agreements, jeddah, principled	2	2023-11-01 11:29:18.192660544
167	satti, appointment, hassan, dr, director	1	2023-11-01 11:29:18.192660544
168	issam, saeed, agency, newspaper, alwatan	1	2023-11-01 11:29:18.192660544
169	adherence, france, interests, america, americans	1	2023-11-01 11:29:18.192660544
171	jobs, professors, matters, assist, contains	1	2023-11-01 11:29:18.192660544
177	escaped, gum, arabic, sanctions, 20	1	2023-11-01 11:29:18.192660544
178	hemedti, enable, prepare, accept, says	1	2023-11-01 11:29:18.192660544
185	17, periodic, 35, 500, injury	1	2023-11-01 11:29:18.192660544
190	posted, group, whatsapp, facebook, httpswwwfacebookcomprofilephpid61556457563338	1	2023-11-01 11:29:18.192660544
195	equation, offered, finally, difficult, omdurman	3	2023-11-01 11:29:18.192660544
197	gateway, classified, belongs, wrong, focus	1	2023-11-01 11:29:18.192660544
200	hemedti, hajar, burhan, liberation, taher	3	2023-11-01 11:29:18.192660544
204	channel, httpstmesudaaan, follow, telegram, copied	3	2023-11-01 11:29:18.192660544
215	black, bahri, army, omdurman, armed	2	2023-11-01 11:29:18.192660544
217	heritage, unesco, agrees, measures, protection	1	2023-11-01 11:29:18.192660544
218	zakat, bureau, trustees, debts, agrees	3	2023-11-01 11:29:18.192660544
223	guardians, righteous, glorious, forgiveness, mercy	2	2023-11-01 11:29:18.192660544
225	drivers, required, motorcycles, vehicles, traffic	1	2023-11-01 11:29:18.192660544
229	crying, turned, flags, hired, helped	1	2023-11-01 11:29:18.192660544
231	account, link, khartoumjanjaweedcemetery, battleofdignity, httpstmealrisala249	1	2023-11-01 11:29:18.192660544
232	commanders, shameless, mean, parties, army	1	2023-11-01 11:29:18.192660544
236	rulings, accused, detaining, revolutionaries, arresting	1	2023-11-01 11:29:18.192660544
239	budget, turning, hosting, jazeera, affected	1	2023-11-01 11:29:18.192660544
241	driver, license, drivers, khashm, unhcr	10	2023-11-01 11:29:18.192660544
243	detainees, floor, detention, pillar, different	4	2023-11-01 11:29:18.192660544
244	crimes, bombed, favoritism, capabilities, enemy	1	2023-11-01 11:29:18.192660544
249	seized, thirty, governorate, pounds, thousand	1	2023-11-01 11:29:18.192660544
253	mahdi, ahmad, pillar, big, sadiq	1	2023-11-01 11:29:18.192660544
254	souls, homeland, citizen, sake, conclusion	2	2023-11-01 11:29:18.192660544
257	piece, success, apply, accepted, method	1	2023-11-01 11:29:18.192660544
259	reproductive, clinics, mobile, inauguration, sinnar	1	2023-11-01 11:29:18.192660544
265	arabs, desert, previously, identity, diaspora	2	2023-11-01 11:29:18.192660544
271	closed, borders, crossing, adre, border	1	2023-11-01 11:29:18.192660544
273	traitor, french, workers, chad, traitors	1	2023-11-01 11:29:18.192660544
275	ceasefire, answered, jeddah, getting, zero	2	2023-11-01 11:29:18.192660544
276	exam, english, luck, offer, language	1	2023-11-01 11:29:18.192660544
277	forest, rehabilitation, umm, madani, company	1	2023-11-01 11:29:18.192660544
279	understandings, coordinate, origin, nation, federal	1	2023-11-01 11:29:18.192660544
280	watch, expels, china, russia, emirates	1	2023-11-01 11:29:18.192660544
281	daein, phenomena, negative, youth, values	2	2023-11-01 11:29:18.192660544
282	17, renewed, clashes, nyala, thousand	1	2023-11-01 11:29:18.192660544
284	channel, telegram, karry, httpstmekraray224466, share	1	2023-11-01 11:29:18.192660544
285	channel, telegram, follow, sudan, httpstmesudaaan	1	2023-11-01 11:29:18.192660544
286	jobs, advisor, interested, organizations, mission	1	2023-11-01 11:29:18.192660544
-1	al, madani, wad, burhan, jazira	758	2023-12-01 17:40:46.541284384
0	madani, rapid, wad, army, al	57	2023-12-01 17:40:46.541284384
1	teachers, school, educational, secondary, students	18	2023-12-01 17:40:46.541284384
2	million, unicef, children, food, humanitarian	20	2023-12-01 17:40:46.541284384
3	sports, appreciated, seizing, dinder, smuggled	1	2023-12-01 17:40:46.541284384
4	understand, things, play, america, make	2	2023-12-01 17:40:46.541284384
5	shakes, incursion, belongings, unemployment, explain	1	2023-12-01 17:40:46.541284384
6	ababa, ethiopian, addis, dagalo, ethiopia	8	2023-12-01 17:40:46.541284384
7	cholera, aids, cases, 42, treatment	12	2023-12-01 17:40:46.541284384
8	gaza, strip, 105, mujahideen, brigades	8	2023-12-01 17:40:46.541284384
9	wad, madani, village, enjoyed, beat	7	2023-12-01 17:40:46.541284384
10	women, violence, rape, sexual, stories	16	2023-12-01 17:40:46.541284384
11	fao, exacerbate, grain, crop, growing	4	2023-12-01 17:40:46.541284384
12	extremely, fierce, broke, complex, escalation	7	2023-12-01 17:40:46.541284384
13	god, noble, oh, live, meet	17	2023-12-01 17:40:46.541284384
15	officer, required, degree, vacant, assistant	22	2023-12-01 17:40:46.541284384
16	democracy, opposition, america, religion, form	9	2023-12-01 17:40:46.541284384
17	families, brothers, crescent, red, cross	8	2023-12-01 17:40:46.541284384
18	violates, plundering, enforced, law, attacking	13	2023-12-01 17:40:46.541284384
19	happen, anticipated, secretary, generals, product	1	2023-12-01 17:40:46.541284384
20	governor, meets, confirms, al, health	5	2023-12-01 17:40:46.541284384
21	syndicate, doctors, gezira, madani, wad	4	2023-12-01 17:40:46.541284384
22	remnants, ignited, guardians, foundations, end	9	2023-12-01 17:40:46.541284384
24	tents, funds, set, housing, atbara	2	2023-12-01 17:40:46.541284384
25	waiting, share, chad, refugees, thousands	5	2023-12-01 17:40:46.541284384
26	governor, budget, blue, proposals, kassala	5	2023-12-01 17:40:46.541284384
27	jazira, wad, madani, violent, qatina	9	2023-12-01 17:40:46.541284384
28	reverse, beni, amer, connection, sisi	1	2023-12-01 17:40:46.541284384
29	police, fadl, abdo, monthly, officers	3	2023-12-01 17:40:46.541284384
30	branches, bank, options, studying, workers	3	2023-12-01 17:40:46.541284384
32	passport, fees, paying, fuel, electronic	1	2023-12-01 17:40:46.541284384
33	distinguished, police, force, directives, proper	8	2023-12-01 17:40:46.541284384
35	lookout, excuse, infiltrators, warned, monitoring	11	2023-12-01 17:40:46.541284384
36	colonialism, revolution, explain, pivotal, british	7	2023-12-01 17:40:46.541284384
37	accessing, sellers, oppressive, confiscation, misinformation	7	2023-12-01 17:40:46.541284384
40	traditional, examining, mining, ways, develop	1	2023-12-01 17:40:46.541284384
41	httpstmesaqwl, spokesperson, paragraph, translation, error	2	2023-12-01 17:40:46.541284384
42	rights, human, discrimination, day, equal	13	2023-12-01 17:40:46.541284384
43	fulfilled, management, amounted, obligations, funds	1	2023-12-01 17:40:46.541284384
47	understand, think, topic, clarify, talked	8	2023-12-01 17:40:46.541284384
48	symbolism, african, africa, union, igad	2	2023-12-01 17:40:46.541284384
49	god, weapon, gates, blessings, messenger	9	2023-12-01 17:40:46.541284384
50	channel, follow, telegram, adel, medani	3	2023-12-01 17:40:46.541284384
53	refinery, seized, ice, stones, oil	2	2023-12-01 17:40:46.541284384
54	emir, headlines, 12, 2023, dirar	6	2023-12-01 17:40:46.541284384
55	farouk, beat, purpose, come, mr	3	2023-12-01 17:40:46.541284384
56	photo, saying, views, widely, fabricated	3	2023-12-01 17:40:46.541284384
57	bulletin, 17, 2023, december, morning	1	2023-12-01 17:40:46.541284384
59	customs, smuggling, currencies, tokar, shift	5	2023-12-01 17:40:46.541284384
61	scene, link, telegram, join, httpstmesdnewsnetwork	6	2023-12-01 17:40:46.541284384
62	prominent, headlines, 2023, friday, december	1	2023-12-01 17:40:46.541284384
63	god, oh, sake, blessings, protect	3	2023-12-01 17:40:46.541284384
64	generous, end, oh, gratitude, enemies	4	2023-12-01 17:40:46.541284384
65	nurses, hospitals, specialties, surgery, tayeb	3	2023-12-01 17:40:46.541284384
66	accusations, crimes, committed, washington, baseless	1	2023-12-01 17:40:46.541284384
67	audience, engage, platforms, strategy, leads	1	2023-12-01 17:40:46.541284384
68	regime, equal, discrimination, insistence, stronger	6	2023-12-01 17:40:46.541284384
70	delivered, riyadh, passports, batch, residents	1	2023-12-01 17:40:46.541284384
71	journalists, syndicate, stranded, enforced, denounced	2	2023-12-01 17:40:46.541284384
73	ankara, turkish, minawi, egyptian, leave	5	2023-12-01 17:40:46.541284384
74	play, eyes, defect, tonight, chair	8	2023-12-01 17:40:46.541284384
75	sacrificed, heard, forcibly, age, raise	1	2023-12-01 17:40:46.541284384
76	contrast, prefer, vehicles, stronghold, guns	3	2023-12-01 17:40:46.541284384
77	artist, famous, marawi, arrested, artists	1	2023-12-01 17:40:46.541284384
78	heinous, step, terrorist, saf, series	8	2023-12-01 17:40:46.541284384
80	gezira, 28, victory, resistance, 2023	5	2023-12-01 17:40:46.541284384
82	governors, owner, recommendations, forum, property	1	2023-12-01 17:40:46.541284384
83	puts, context, presented, health, hospitals	1	2023-12-01 17:40:46.541284384
86	sorry, hussein, history, great, ahmed	1	2023-12-01 17:40:46.541284384
87	unemployment, brothers, street, leave, workers	1	2023-12-01 17:40:46.541284384
90	arming, enemy, honorable, sellers, arts	6	2023-12-01 17:40:46.541284384
91	kiir, salva, juba, hamdok, peace	6	2023-12-01 17:40:46.541284384
92	destroy, overwhelming, really, abandoned, mercenaries	3	2023-12-01 17:40:46.541284384
94	separation, barrels, approximately, 500, oil	1	2023-12-01 17:40:46.541284384
96	dilemma, founded, gave, adding, sides	1	2023-12-01 17:40:46.541284384
100	discover, officers, grew, 1st, served	3	2023-12-01 17:40:46.541284384
103	obaid, taught, lesson, material, write	5	2023-12-01 17:40:46.541284384
105	harming, amin, sheikh, warns, regime	1	2023-12-01 17:40:46.541284384
110	planes, fighter, drone, shipment, chinese	4	2023-12-01 17:40:46.541284384
111	specialties, chain, generation, contains, department	1	2023-12-01 17:40:46.541284384
114	migration, million, sought, figures, organization	2	2023-12-01 17:40:46.541284384
115	titles, fathi, declined, 112, stocks	2	2023-12-01 17:40:46.541284384
117	muhannad, scattered, hasahisa, doors, shops	2	2023-12-01 17:40:46.541284384
118	want, husband, bury, listen, survived	4	2023-12-01 17:40:46.541284384
119	guardians, righteous, glorious, forgiveness, mercy	4	2023-12-01 17:40:46.541284384
120	finding, kiir, salva, settlement, peaceful	1	2023-12-01 17:40:46.541284384
121	temperatures, winds, weather, stable, active	1	2023-12-01 17:40:46.541284384
122	reference, broken, assassination, medical, 90	1	2023-12-01 17:40:46.541284384
124	chadian, described, facilitated, chad, atta	2	2023-12-01 17:40:46.541284384
127	sleeper, text, cells, nature, terrorist	2	2023-12-01 17:40:46.541284384
129	designed, crush, excellence, worlds, withdraw	4	2023-12-01 17:40:46.541284384
133	sudandefense, testing, careful, bet, quality	2	2023-12-01 17:40:46.541284384
138	bloc, democratic, party, juba, participate	2	2023-12-01 17:40:46.541284384
139	insurance, benefited, 57, services, health	3	2023-12-01 17:40:46.541284384
140	shops, property, obstruction, destruction, hour	6	2023-12-01 17:40:46.541284384
141	burhan, completely, hemedti, pointed, media	1	2023-12-01 17:40:46.541284384
143	difference, big, john, nearby, crushing	1	2023-12-01 17:40:46.541284384
149	silent, bite, skin, stuck, dogs	4	2023-12-01 17:40:46.541284384
157	fall, alike, revolutions, passes, greatest	8	2023-12-01 17:40:46.541284384
158	assistance, key, sinar, disabilities, distributes	4	2023-12-01 17:40:46.541284384
161	heated, professionals, association, dialogue, spokesman	1	2023-12-01 17:40:46.541284384
162	km, medani, location, different, 50	2	2023-12-01 17:40:46.541284384
165	watan, 25, monday, december, 2023	1	2023-12-01 17:40:46.541284384
166	touches, fundamental, strongest, evacuation, supporters	1	2023-12-01 17:40:46.541284384
167	haitham, hospitals, health, oxygen, efficiency	3	2023-12-01 17:40:46.541284384
170	victory, pray, mourn, god, trust	3	2023-12-01 17:40:46.541284384
171	jobs, study, euros, expenses, scholarship	4	2023-12-01 17:40:46.541284384
172	despair, ignorance, expresses, arman, dealing	1	2023-12-01 17:40:46.541284384
173	appeared, tribune, sudan, scholarship, admission	2	2023-12-01 17:40:46.541284384
175	bank, affecting, customers, online, application	2	2023-12-01 17:40:46.541284384
177	kizan, restored, recover, prevented, mobilized	1	2023-12-01 17:40:46.541284384
178	burhan, eastern, armed, thanks, saluted	2	2023-12-01 17:40:46.541284384
181	retreated, fought, intense, bombardment, valiant	5	2023-12-01 17:40:46.541284384
183	politics, spent, expatriate, expatriates, fatigue	4	2023-12-01 17:40:46.541284384
184	apartment, point, house, east, nile	1	2023-12-01 17:40:46.541284384
185	clashes, causing, cell, morning, bombed	3	2023-12-01 17:40:46.541284384
186	hamdan, dagalo, mohamed, lieutenant, general	1	2023-12-01 17:40:46.541284384
190	youtube, facebook, whatsapp, posted, channel	2	2023-12-01 17:40:46.541284384
192	stories, story, horrific, 240, raging	3	2023-12-01 17:40:46.541284384
193	killer, smuggle, thwarting, currencies, cessation	1	2023-12-01 17:40:46.541284384
196	owns, pharmacies, registered, accused, explained	4	2023-12-01 17:40:46.541284384
197	involvement, arming, uae, confirmed, data	1	2023-12-01 17:40:46.541284384
200	hadi, madani, wad, contact, 2023	4	2023-12-01 17:40:46.541284384
202	challenges, commission, fulfill, promised, overcome	1	2023-12-01 17:40:46.541284384
204	channel, follow, telegram, httpstmesudaaan, sudan	1	2023-12-01 17:40:46.541284384
207	notification, accepted, contributes, whatsapp, brothers	4	2023-12-01 17:40:46.541284384
208	sanctions, sides, expected, american, war	1	2023-12-01 17:40:46.541284384
210	communications, prosperity, outage, anti, tanks	1	2023-12-01 17:40:46.541284384
215	page, black, supporters, capabilities, share	2	2023-12-01 17:40:46.541284384
222	guys, jeddah, tourism, travel, tourist	1	2023-12-01 17:40:46.541284384
225	precautionary, traffic, announcement, named, implementation	3	2023-12-01 17:40:46.541284384
231	khojali, akhir, khartoumjanjaweedcemetery, 16, battleofdignity	2	2023-12-01 17:40:46.541284384
232	army, barrier, lions, invaders, stood	1	2023-12-01 17:40:46.541284384
233	prohibiting, threatens, war, harms, stop	3	2023-12-01 17:40:46.541284384
236	shameful, history, committed, crimes, city	2	2023-12-01 17:40:46.541284384
237	classifying, criteria, bearing, classified, encourage	2	2023-12-01 17:40:46.541284384
238	unwavering, belief, learned, village, young	5	2023-12-01 17:40:46.541284384
240	tribe, receive, coming, initiative, kassala	1	2023-12-01 17:40:46.541284384
241	driver, license, drivers, high, unhcr	4	2023-12-01 17:40:46.541284384
247	island, remnants, traitors, birth, approaching	8	2023-12-01 17:40:46.541284384
248	surrendered, maash, testimony, friend, brother	1	2023-12-01 17:40:46.541284384
249	girl, arqin, arrested, quantity, ambush	4	2023-12-01 17:40:46.541284384
252	salva, kiir, presidential, palace, hajj	1	2023-12-01 17:40:46.541284384
254	hands, homelands, betrayed, truly, traitors	6	2023-12-01 17:40:46.541284384
256	umma, mourns, party, leader, death	1	2023-12-01 17:40:46.541284384
257	registration, courses, study, details, link	1	2023-12-01 17:40:46.541284384
263	emirates, trade, bribe, posted, 77	3	2023-12-01 17:40:46.541284384
264	little, girl, suffered, seven, died	2	2023-12-01 17:40:46.541284384
265	arabs, desert, bbc, definition, users	4	2023-12-01 17:40:46.541284384
267	intensifies, taqaddam, contacts, moves, welcomed	1	2023-12-01 17:40:46.541284384
269	collaborators, occurred, endeavors, succeed, brought	1	2023-12-01 17:40:46.541284384
270	chadian, chad, diplomats, dialogue, president	8	2023-12-01 17:40:46.541284384
273	traitors, mean, paid, agents, want	3	2023-12-01 17:40:46.541284384
275	concluding, ending, jeddah, positive, ceasefire	1	2023-12-01 17:40:46.541284384
276	english, language, exam, test, tests	4	2023-12-01 17:40:46.541284384
279	allied, exaggeration, narrative, push, test	2	2023-12-01 17:40:46.541284384
280	uae, diplomats, denied, expels, exchanging	2	2023-12-01 17:40:46.541284384
281	quotas, covered, existing, locality, fair	2	2023-12-01 17:40:46.541284384
282	37, revealing, names, doctors, killing	1	2023-12-01 17:40:46.541284384
285	channel, telegram, follow, proud, later	10	2023-12-01 17:40:46.541284384
-1	al, war, weapons, janjaweed, militia	632	2023-12-31 23:52:14.889908224
0	babanusa, rapid, army, battles, artillery	54	2023-12-31 23:52:14.889908224
1	university, complexes, professors, destruction, knowledge	11	2023-12-31 23:52:14.889908224
2	humanitarian, million, nations, united, famine	17	2023-12-31 23:52:14.889908224
3	hilal, al, libyan, loan, clubs	5	2023-12-31 23:52:14.889908224
4	remember, ships, classify, hit, history	2	2023-12-31 23:52:14.889908224
6	ethiopian, eritrean, ababa, addis, broadcaster	8	2023-12-31 23:52:14.889908224
7	cholera, epidemic, cases, health, deaths	11	2023-12-31 23:52:14.889908224
8	israel, jews, gaza, israeli, palestinian	15	2023-12-31 23:52:14.889908224
9	hasahisa, interrogation, medina, babanusa, kidnapped	11	2023-12-31 23:52:14.889908224
10	women, sexual, rape, girls, violence	9	2023-12-31 23:52:14.889908224
12	injury, continues, causing, displacement, gained	10	2023-12-31 23:52:14.889908224
13	god, oh, praise, lord, tuti	17	2023-12-31 23:52:14.889908224
15	officer, required, assistant, monthly, vacant	8	2023-12-31 23:52:14.889908224
16	party, recruiting, undermining, clearly, refused	3	2023-12-31 23:52:14.889908224
17	weekly, donate, donations, distributed, families	4	2023-12-31 23:52:14.889908224
18	neutrality, cleansing, ethnic, detains, condemnations	12	2023-12-31 23:52:14.889908224
19	stick, retaliation, factors, sensitive, diplomats	3	2023-12-31 23:52:14.889908224
20	burhan, apologizes, titles, expand, issues	3	2023-12-31 23:52:14.889908224
21	sisi, wahab, purification, reproductive, complications	8	2023-12-31 23:52:14.889908224
22	plundering, plunder, popular, janjaweed, resistance	12	2023-12-31 23:52:14.889908224
23	yacoub, advisor, hamdok, party, communist	1	2023-12-31 23:52:14.889908224
24	al, neighborhood, wedding, shindi, hour	3	2023-12-31 23:52:14.889908224
25	refugees, chad, sudandefense, mashad, unhcr	8	2023-12-31 23:52:14.889908224
26	assumes, duties, inaugurates, pledges, develop	2	2023-12-31 23:52:14.889908224
27	destroys, mobile, biased, advances, halfaya	2	2023-12-31 23:52:14.889908224
29	reassures, intelligence, sennar, stability, conditions	1	2023-12-31 23:52:14.889908224
30	gulf, bank, banks, exchange, dollar	1	2023-12-31 23:52:14.889908224
31	route, flight, migrant, went, loss	4	2023-12-31 23:52:14.889908224
33	recommended, mail, finding, fact, established	1	2023-12-31 23:52:14.889908224
35	controlled, unrest, monopoly, intensity, instability	6	2023-12-31 23:52:14.889908224
36	fallen, wing, colonialism, legacy, achieves	4	2023-12-31 23:52:14.889908224
37	urban, al, rebel, justify, plundered	7	2023-12-31 23:52:14.889908224
38	preserving, lawyers, later, obtain, evidence	4	2023-12-31 23:52:14.889908224
39	balad, guests, negatively, prove, unacceptable	3	2023-12-31 23:52:14.889908224
42	rights, expert, human, recruitment, independent	7	2023-12-31 23:52:14.889908224
44	utensils, eating, preventive, applying, wash	1	2023-12-31 23:52:14.889908224
47	minutes, takes, comprehensive, waiting, answer	3	2023-12-31 23:52:14.889908224
48	non, igad, djibouti, uganda, burhan	5	2023-12-31 23:52:14.889908224
49	prophet, grant, bless, blessings, companions	4	2023-12-31 23:52:14.889908224
50	channel, follow, moment, telegram, unique	3	2023-12-31 23:52:14.889908224
54	01, atta, army, headlines, charity	4	2023-12-31 23:52:14.889908224
55	dr, truly, resilience, majid, hamid	2	2023-12-31 23:52:14.889908224
56	screens, photos, pages, limits, clips	2	2023-12-31 23:52:14.889908224
57	credibility, news, follow, national, ad	1	2023-12-31 23:52:14.889908224
58	2011, apart, saluted, basket, performing	5	2023-12-31 23:52:14.889908224
60	reservations, reconcile, commission, income, difficulty	1	2023-12-31 23:52:14.889908224
61	scene, link, telegram, join, httpstmesdnewsnetwork	8	2023-12-31 23:52:14.889908224
62	pages, insistence, roots, reviewing, confidence	2	2023-12-31 23:52:14.889908224
63	god, oh, protect, mighty, blessings	16	2023-12-31 23:52:14.889908224
64	tonight, boys, wife, mother, wants	2	2023-12-31 23:52:14.889908224
65	hospital, specializing, equipment, strive, externally	3	2023-12-31 23:52:14.889908224
66	independence, violations, anniversary, washington, frankly	2	2023-12-31 23:52:14.889908224
68	fathers, serves, art, speak, politics	2	2023-12-31 23:52:14.889908224
71	journalists, media, facts, highlighting, accuracy	6	2023-12-31 23:52:14.889908224
72	court, criminal, prosecutor, request, lawyers	16	2023-12-31 23:52:14.889908224
73	din, purely, salah, purpose, nour	2	2023-12-31 23:52:14.889908224
74	holding, dont, come, didnt, personally	1	2023-12-31 23:52:14.889908224
76	clearance, vehicles, kinds, enter, batches	9	2023-12-31 23:52:14.889908224
77	artists, revive, dispersed, works, cairo	1	2023-12-31 23:52:14.889908224
78	compulsory, innocents, sandal, manifestations, contacts	2	2023-12-31 23:52:14.889908224
79	station, water, omdurman, areas, al	1	2023-12-31 23:52:14.889908224
80	religion, path, divine, sleep, lesson	5	2023-12-31 23:52:14.889908224
81	immigrant, satisfy, deportation, aforementioned, physical	3	2023-12-31 23:52:14.889908224
82	rents, rent, apartments, ordinary, neighborhoods	3	2023-12-31 23:52:14.889908224
83	hospital, halted, trustees, medical, resumed	4	2023-12-31 23:52:14.889908224
86	church, bud, morally, section, accuse	2	2023-12-31 23:52:14.889908224
87	seriously, guys, overwhelming, clothes, swear	4	2023-12-31 23:52:14.889908224
90	tribe, fights, defensive, strive, affiliation	6	2023-12-31 23:52:14.889908224
91	igad, posted, democratic, consultative, assessment	1	2023-12-31 23:52:14.889908224
92	infiltrating, buys, forbidden, cheap, kikel	3	2023-12-31 23:52:14.889908224
93	estimated, value, quantities, medicines, dollars	1	2023-12-31 23:52:14.889908224
96	institute, non, chief, officers, infantry	1	2023-12-31 23:52:14.889908224
97	lawyers, license, recommendations, competent, journalists	2	2023-12-31 23:52:14.889908224
100	commanders, look, rid, solid, army	8	2023-12-31 23:52:14.889908224
103	rizeigat, burhan, tribe, analysis, introduced	6	2023-12-31 23:52:14.889908224
104	terrorized, harmed, orphans, conquest, plundered	3	2023-12-31 23:52:14.889908224
110	migrant, focus, rumors, confirm, evidence	2	2023-12-31 23:52:14.889908224
114	migration, whatsapp, opinion, channel, million	3	2023-12-31 23:52:14.889908224
115	dollar, rental, riding, paralysis, sentences	1	2023-12-31 23:52:14.889908224
117	estate, rental, share, visible, rent	3	2023-12-31 23:52:14.889908224
121	slightly, temperatures, meteorology, drop, continue	1	2023-12-31 23:52:14.889908224
122	hospices, meals, dinner, density, supervising	2	2023-12-31 23:52:14.889908224
128	event, channel, heart, share, follow	1	2023-12-31 23:52:14.889908224
129	lot, war, complaining, shall, tenth	5	2023-12-31 23:52:14.889908224
130	migrant, httpstmesdnewsnetlork, telegram, join, scene	1	2023-12-31 23:52:14.889908224
131	sudandefense, httpstmedefenssuda, spokesperson, httpstmedefenssudan, office	12	2023-12-31 23:52:14.889908224
133	sudandefense, testing, careful, bet, quality	1	2023-12-31 23:52:14.889908224
136	win, strength, god, stay, almighty	3	2023-12-31 23:52:14.889908224
140	robbed, thieves, foot, went, belonging	1	2023-12-31 23:52:14.889908224
141	sends, burhan, message, kassala, al	1	2023-12-31 23:52:14.889908224
143	mirghani, appear, imagined, hemedti, ugandan	1	2023-12-31 23:52:14.889908224
144	style, aforementioned, directing, indian, hemedti	2	2023-12-31 23:52:14.889908224
147	deported, injured, voluntary, returnees, return	1	2023-12-31 23:52:14.889908224
149	mourning, number, bird, birds, norway	3	2023-12-31 23:52:14.889908224
150	declining, resettlement, paper, industries, investment	2	2023-12-31 23:52:14.889908224
151	zadna, tool, encourage, invest, indicates	1	2023-12-31 23:52:14.889908224
153	categories, licensing, vehicle, keenness, fees	1	2023-12-31 23:52:14.889908224
157	audio, smuggle, shipment, papers, pictures	1	2023-12-31 23:52:14.889908224
159	verify, 64, soldiers, 52, unamid	1	2023-12-31 23:52:14.889908224
160	preserve, rights, rebels, negotiations, satisfy	3	2023-12-31 23:52:14.889908224
161	finding, fact, committee, said, empowerment	1	2023-12-31 23:52:14.889908224
162	kilometers, 76, 33, al, surrounding	1	2023-12-31 23:52:14.889908224
165	watan, january, ad, 2024, news	3	2023-12-31 23:52:14.889908224
166	seeing, version, freedom, restricting, banning	2	2023-12-31 23:52:14.889908224
169	stick, americans, adopting, adopted, options	5	2023-12-31 23:52:14.889908224
170	victory, grant, comfort, pray, god	2	2023-12-31 23:52:14.889908224
171	study, euros, jobs, expenses, scholarship	3	2023-12-31 23:52:14.889908224
173	scholarships, funded, appeared, fully, tribune	3	2023-12-31 23:52:14.889908224
176	join, whatsapp, link, scene, opinion	1	2023-12-31 23:52:14.889908224
178	clarifies, 18th, wish, learn, artist	1	2023-12-31 23:52:14.889908224
181	northeastern, clashes, specifically, brigade, evaluation	1	2023-12-31 23:52:14.889908224
183	responsible, housing, family, required, provide	1	2023-12-31 23:52:14.889908224
184	blogging, survey, migrant, entire, bahri	4	2023-12-31 23:52:14.889908224
185	causing, attacked, friday, morning, major	1	2023-12-31 23:52:14.889908224
